
                 PyRate - v3.0 - 20211129

          Bayesian estimation of origination,
           extinction and preservation rates
              from fossil occurrence data

                 pyrate.help@gmail.com



Module FastPyRateC was loaded.


 Creodonta_PyRate ['data/Creodonta_PyRate.py'] 


The analysis includes 132 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

132 taxa included in the analysis
50 taxa have a single occurrence, 0 taxa are extant
403 fossil occurrences (50 replicates), ranging from 59.61 (+/- 0.0) to 11.63 (+/- 0.0) Ma

Taxon	FA	LA
Lesmesodon_behnkeae	47.4	47.4	
Limnocyon_cuspidens	49.27	49.27	
Limnocyon_potens	47.96	45.38	
Limnocyon_verus	51.91	48.64	
Machaeroides_eothen	49.27	48.64	
Machaeroides_simpsoni	53.07	52.11	
Malfelis_badwaterensis	52.11	52.11	
Megistotherium_osteothlastes	20.44	13.82	
Metapterodon_brachycephalus	37.7	37.7	
Metapterodon_kaiseri	17.2	17.2	
Metapterodon_stromeri	21.7	21.7	
Metasinopa_ethiopica	37.7	37.7	
Metasinopa_napaki	20.44	20.44	
Orienspterodon_dahkoensis	44.95	44.95	
Oxyaena_forcipata	55.79	53.07	
Oxyaena_gulo	55.96	55.54	
Oxyaena_intermedia	55.96	55.79	
Oxyaena_lupina	55.79	53.07	
Oxyaena_pardalis	53.07	53.07	
Oxyaena_simpsoni	53.42	53.42	
Oxyaenodon_dysodus	45.38	42.78	
Palaeonictis_occidentalis	55.96	55.79	
Palaeonictis_peloria	56.54	56.54	
Paratritemnodon_indicus	56.0	47.8	
Paratritemnodon_jandewalensis	56	56	
Patriofelis_coloradensis	51.91	51.91	
Patriofelis_ferox	48.64	48.64	
Patriofelis_ulta	51.91	49.27	
Prolimnocyon_antiquus	53.07	52.11	
Prolimnocyon_atavus	55.96	53.07	
Prolimnocyon_eerius	55.79	55.79	
Prolimnocyon_elisabethae	53.42	53.07	
Prolimnocyon_haematus	55.96	55.79	
Prolimnocyon_iudei	53.42	53.42	
Protopsalis_tigrinus	53.07	53.07	
Prototomus_deimos	55.96	55.79	
Prototomus_martis	55.96	54.05	
Prototomus_phobos	55.96	55.07	
Prototomus_robustus	55.96	54.61	
Prototomus_secundarius	55.96	53.07	
Prototomus_viverrinus	55.79	53.07	
Proviverra_edingeri	47.4	47.4	
Proviverroides_piercei	49.27	49.27	
Pterodon_africanus	37.7	17.2	
Pterodon_kaiseri	20.44	17.2	
Pterodon_leptognathus	37.7	37.7	
Pterodon_nyanzae	23.03	23.03	
Pterodon_phiomensis	37.7	37.7	
Pterodon_zadoki	20.44	17.2	
Pyrocyon_dioctetus	55.79	55.79	
Sinopa_aethiopica	33.9	33.9	
Sinopa_grangeri	51.91	49.27	
Sinopa_major	49.27	45.38	
Sinopa_minor	51.91	49.27	
Sinopa_pungens	49.27	48.64	
Sinopa_rapax	51.91	48.64	
Teratodon_spekei	23.03	17.2	
Thereutherium_thylacodes	27.24	27.24	
Thinocyon_cledensis	48.64	48.64	
Thinocyon_comptus	48.64	48.64	
Thinocyon_medius	48.64	48.64	
Thinocyon_mustelinus	49.27	49.27	
Thinocyon_velox	51.91	49.27	
Tinerhodon_disputatum	59.2	56.0	
Tritemnodon_agilis	49.27	49.27	
Tritemnodon_strenuus	55.96	51.91	
Tytthaena_lichna	57.24	57.24	
Tytthaena_parrisi	59.61	59.61	
Yarshea_cruenta	44.95	44.95	
