
                 PyRate - v3.0 - 20211129

          Bayesian estimation of origination,
           extinction and preservation rates
              from fossil occurrence data

                 pyrate.help@gmail.com



Module FastPyRateC was loaded.


 Artiodactyla_PyRate ['data/Artiodactyla_PyRate.py'] 


The analysis includes 1603 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

1603 taxa included in the analysis
583 taxa have a single occurrence, 54 taxa are extant
8799 fossil occurrences (40 replicates), ranging from 56.0 (+/- 0.0) to 0.03 (+/- 0.0) Ma

Taxon	FA	LA
Camelus_bessarabiensis	3.55	3.55	
Camelus_sivalensis	3.956	3.6	
Camelus_thomasi	5	5	
Canthumeryx_sirtensis	20.44	13.82	
Capra_alba	1.778	1.778	
Capra_baetica	1.9	1.9	
Capra_caucasica	0.36	0.115	extant
Capra_dalii	1.85	1.85	
Capra_ibex	0.3	0.3	extant
Capra_primaeva	3.55	3.55	
Capra_pyrenaica	0.07	0.07	extant
Capreolus_caprea	5	5	
Capreolus_capreolus	0.781	0.035	extant
Capreolus_constantini	3.55	3.55	
Capreolus_corsicanus	5	5	
Capreolus_cusanoides	1.072	1.072	
Capreolus_matheroni	5.333	5.333	
Capreolus_suessenbornensis	0.79	0.563	
Capricamelus_gettryi	2.63	2.63	
Capricornis_jianshiensis	1.81	1.81	
Capricornis_sumatraensis	1.296	1.296	extant
Capromeryx_arizonensis	4.91	2.63	
Capromeryx_gidleyi	4.91	4.91	
Capromeryx_tauntonensis	5.91	4.91	
Catagonus_brachydontus	6.88	4.91	
Catodontherium_buxgovianum	56	56	
Catodontherium_robiacense	40.12	40.12	
Cebochoerus_fontensis	35.1	35.1	
Cebochoerus_helveticus	40.12	40.12	
Cephalophus_parvus	2.5	2.5	
Ceratomeryx_prenticei	4.91	4.91	
Cervalces_latifrons	0.781	0.662	
Cervavitulus_mimus	8.9	8.9	
Cervavitus_demissus	8.9	5.3	
Cervavitus_fenqii	1.81	1.185	
Cervavitus_flerovi	3.55	3.55	
Cervavitus_novorossiae	11.63	5.0	
Cervavitus_orlovi	7.1	7.1	
Cervavitus_sarmaticus	13.6	13.6	
Cervavitus_ultimus	1.296	1.296	
Cervavitus_variabilis	14.2	5.333	
Cervocerus_huadeensis	7.2	7.2	
Cervocerus_novonossiae	7.2	7.2	
Cervocerus_wenzensis	5	5	
Cervus_australis	5.3	3.55	
Cervus_cuvieri	5.3	5.3	
Cervus_elaphus	3.498	0.035	extant
Cervus_eldii	1.296	1.296	
Cervus_elsanus	5.3	5.3	
Cervus_fenqii	1.81	1.81	
Cervus_grayi	1.81	0.712	
Cervus_grayi_var._elata	1.81	1.81	
Cervus_ischnoceros	3.6	3.6	
Cervus_nippon	1.296	1.296	extant
Cervus_pardinensis	5.0	3.55	
Cervus_perolensis	3.55	3.55	
Cervus_perrieri	5.333	1.85	
Cervus_philisi	5.333	2.2	
Cervus_punjabicus	2	2	
Cervus_pyrenaicus	5.3	5.0	
Cervus_rhenanus	3.55	2.5	
Cervus_unicolor	1.81	0.106	
Cervus_warthae	5	5	
Chleuastochoerus_stehlini	11.056	5.767	
Chleuastochoerus_tuvensis	7.6	7.6	
Choerodon_caninus	31.4	31.4	
Choeromorus_lemuroides	14.933	14.933	
Chorlakkia_hassani	56	56	
Climacoceras_africanus	15.97	13.82	
Climacoceras_gentryi	19.2	12.56	
Connochaetes_africanus	1.785	1.785	
Connochaetes_gentryi	3.6	1.53	
Connochaetes_taurinus	17.2	0.95	extant
Connochaetes_tournoueri	2.5	2.5	
Conohyus_giganteus	12.85	5.6	
Conohyus_olujici	15.16	15.16	
Conohyus_simorrensis	16.4	11.2	
Cosoryx_agilis	15.97	15.97	
Cosoryx_cerrosensis	12.57	10.09	
Cosoryx_furcatus	15.97	10.09	
Cosoryx_ilfonensis	15.97	12.11	
Cosoryx_trilateralis	12.11	12.11	
Cranioceras_teres	14.78	12.11	
Cranioceras_unicornis	15.97	7.59	
Criotherium_argalioides	8.9	7.528	
Criotherium_nikolovi	8.9	8.9	
Croizetoceros_pyrenaicus	6.252	5.0	
Croizetoceros_ramosus	5.333	1.9	
Croizetoceros_senezensis	2.5	2.5	
Csakvarotherium_hungaricum	8.9	8.9	
Cuyamacamelus_jamesi	15.97	15.97	
Cynorca_occidentale	17.34	15.97	
Cynorca_sociale	22.2	17.34	
Cypretherium_coarctatum	37.39	35.24	
Dacrytherium_elegans	40.12	40.12	
Dacrytherium_ovinum	56.0	37.39	
Daeodon_hollandi	29.75	18.5	
Dama_clactoniana	0.781	0.3	
Dama_dama	0.424	0.243	extant
Dama_nestii	3.55	0.781	
Dama_roberti	0.781	0.774	
Damalacra_acalla	5.156	5.156	
Damalacra_neanica	5.156	5.156	
Damalavus_boroccoi	11.2	11.2	
Damalborea_grayi	3.2	2.88	
Damaliscus_ademassui	5.333	2.5	
Damaliscus_agelaius	1.785	0.95	
Damaliscus_antiquus	2.19	2.19	
Damaliscus_cuiculi	2.5	2.5	
Damaliscus_eppsi	3.4	1.53	
Damaliscus_gentryi	5	5	
Damaliscus_niro	1.95	0.95	
Damalops_palaeindicus	3.8	3.0	
Damalops_sidihakomai	3.446	3.446	
Decennatherium_macedoniae	11.056	9.426	
Decennatherium_pachecoi	11.2	9.9	
Decennatherium_rex	9.9	9.9	
Deperetia_ardea	3.55	3.55	
Desmatochoerus_megalodon	29.75	29.75	
Diacodexis_gracilis	55.96	55.79	
Diacodexis_ilicus	55.79	55.79	
Diacodexis_indicus	56	56	
Diacodexis_metsiacus	54.61	54.61	
Diacodexis_minutus	53.07	52.11	
Diacodexis_pakistanensis	56	56	
Diacodexis_parvus	56	56	
Diacodexis_secans	55.79	51.91	
Diacodexis_woltonensis	53.07	45.38	
Diamantohyus_nadirus	16.0	15.97	
Dichobune_fraasi	33.77	33.77	
Dichobune_jehennei	32.63	32.63	
Dichobune_leporina	40.12	40.12	
Dichodon_biroi	40.12	40.12	
Dichodon_cervinum	56.0	35.1	
Dichodon_frohnstettense	35.1	35.1	
Dichodon_subtilis	40.12	40.12	
Dicoryphochoerus_vinayaki	11.63	11.63	
Dicrocerus_bessarabiensis	9.9	9.9	
Dicrocerus_elegans	20.0	11.2	
Dicrocerus_grangeri	15.2	12.5	
Dicrocerus_salomeae	9.88	9.88	
Diplobune_minor	32.63	32.63	
Diplobune_secundaria	56.0	35.1	
Discritochoerus_lapointensis	39.83	39.83	
Dmanisibos_georgicus	3.55	1.85	
Doliochoerus_quercyi	27.24	23.86	
Dorcabune_anthracotherioides	16.4	7.246	
Dorcabune_liuchengense	1.81	1.81	
Dorcabune_progressus	7.6	7.6	
Dorcabune_sindiense	16.4	16.4	
Dorcabune_welcommi	17.2	17.2	
Dorcadoryx_lagrelii	7.2	5.767	
Dorcadoryx_orientalis	8.108	8.108	
Dorcadoryx_triquetricornis	9.9	7.1	
Dorcadoxa_prorrecticornis	9.531	9.531	
Dorcatherium_chappuisi	20.44	13.8	
Dorcatherium_crassum	17.2	12.85	
Dorcatherium_guntianum	17.2	14.2	
Dorcatherium_jourdani	11.2	8.9	
Dorcatherium_libiensis	20.44	16.4	
Dorcatherium_majus	11.63	7.246	
Dorcatherium_minimus	20.44	7.246	
Dorcatherium_minus	17.131	7.2	
Dorcatherium_moruorotensis	17.7	17.2	
Dorcatherium_nagrii	11.63	9.531	
Dorcatherium_naui	17.2	8.9	
Dorcatherium_orientale	17.2	17.2	
Dorcatherium_parvum	20.44	13.82	
Dorcatherium_peneckei	17.2	14.2	
Dorcatherium_penekei	16.4	16.4	
Dorcatherium_pigotti	20.44	9.937	
Dorcatherium_progressus	7.2	7.2	
Dorcatherium_puyhauberti	11.2	7.1	
Dorcatherium_rogeri	14.2	9.9	
Dorcatherium_songhorensis	23.03	17.2	
Dorcatherium_vindobonense	17.2	14.2	
Dremotherium_feignouxi	23.0	21.7	
Dremotherium_guthi	24.56	23.26	
Drepanomeryx_falciformis	15.97	15.97	
Dromomeryx_borealis	17.34	14.78	
Duboisia_santeng	7.1	7.1	
Dyseohyus_fricki	15.97	14.78	
Dystychoceras_foveatus	8.9	8.9	
Dystychoceras_macedoniensis	7.1	7.1	
Dytikodorcas_longicornis	7.1	7.1	
Elachistoceras_khauristanensis	7.246	7.246	
Elaphodus_cephalophus	1.296	1.296	extant
Elaphurus_bifurcatus	2.5	1.81	
Elaphurus_eleonorae	3	3	
Elomeryx_armatus	33.4	29.75	
Elomeryx_borbonicus	27.82	17.2	
Elomeryx_cluai	30.83	30.83	
Elomeryx_crispus	27.24	27.24	
Elomeryx_minor	23	23	
Elomeryx_woodi	30.277	30.277	
Entelodon_deguilhemi	30.83	30.83	
Entelodon_gobiensis	41.2	41.2	
Eocoileus_gentryorum	5.91	5.91	
Eostyloceros_blainvillei	9.9	4.717	
Eostyloceros_maci	5.3	5.3	
Eostyloceros_propria	7.1	7.1	
Eostyloceros_triangularis	8.9	8.9	
Eosyncerus_ivericus	3.55	3.55	
Eotragus_artenensis	17.2	16.225	
Eotragus_bavaricus	17.2	17.2	
Eotragus_clavatus	16.4	12.85	
Eotragus_cristatus	16.4	16.4	
Eotragus_halamagaiensis	18.524	15.2	
Eotragus_haplodon	15.467	14.2	
Eotragus_minus	17.2	17.2	
Eotragus_noyei	19.722	19.722	
Eotragus_sansaniensis	19.5	12.85	
Eotylopus_reedi	39.83	34.7	
Eporeodon_latidens	29.75	22.2	
Eporeodon_major	32.1	29.75	
Eporeodon_minor	31.4	22.2	
Eporeodon_occidentalis	32.1	29.75	
Eporeodon_pygmyus	28	28	
Etruria_viallii	8.9	7.6	
Euceratherium_collinum	1.8	1.8	
Eucladoceros_boulei	2.725	1.81	
Eucladoceros_ctenoides	3.55	1.8	
Eucladoceros_dichotomus	3.55	3.55	
Eucladoceros_dicranios	3.55	1.945	
Eucladoceros_dicranios/ctenoides	2.138	2.138	
Eucladoceros_falconeri	2.581	2.581	
Eucladoceros_giullii	1.072	0.781	
Eucladoceros_proboulei	7.1	5.3	
Eucladoceros_senezensis	5.333	0.424	
Eucladoceros_tegulensis	3.6	2.23	
Eucladoceros_tetraceros	1.81	1.81	
Eucrotaphus_galushai	32.1	31.4	
Eucrotaphus_jacksoni	34.7	32.1	
Eumeryx_culminis	32.63	32.63	
Euprox_dicranocerus	16.4	7.6	
Euprox_elsanus	7.1	7.1	
Euprox_furcatus	16.4	8.9	
Euprox_grangeri	12.85	12.85	
Euprox_margaritae	19.5	18.95	
Euprox_minimus	16.4	9.9	
Euprox_robustus	8.9	8.9	
Euryceros_flabellatus	3.55	3.55	
Euthyceros_thessalicus	2.5	2.5	
Floridachoerus_olseni	22.2	18.5	
Floridatragulus_dolichanthereus	18.5	15.97	
Floridatragulus_hesperus	14.78	14.78	
Floridatragulus_nanus	18.5	18.5	
Floridatragulus_texanus	15.97	15.97	
Friburgomeryx_wallenriedensis	21.7	21.7	
Gallogoral_meneghinii	3.55	1.85	
Gazella_aegea	2.5	2.5	
Gazella_altidens	7.2	7.14	
Gazella_ancyrensis	11.2	7.6	
Gazella_atlantica	1.8	1.8	
Gazella_baltavarensis	7.6	7.6	
Gazella_baturra	5.3	5.3	
Gazella_blacki	8.953	2.5	
Gazella_borbonica	5.3	2.23	
Gazella_bouvrainae	3.55	2.5	
Gazella_brevicornis	9.9	8.9	
Gazella_capricornis	8.9	7.1	
Gazella_deperdita	11.2	5.333	
Gazella_dorcadoides	11.63	5.767	
Gazella_eleanorae	8.9	8.9	
Gazella_emilii	5	5	
Gazella_gaudryi	11.2	6.733	
Gazella_gazella	1.981	1.981	extant
Gazella_gracile	8.9	5.333	
Gazella_granti	3.85	1.86	
Gazella_gutturosa	7.1	3.0	
Gazella_harmonae	3.6	2.88	
Gazella_incerta	7.1	7.1	
Gazella_janenschi	3.94	1.62	
Gazella_kohllarseni	3.85	3.85	
Gazella_kueitensis	5.235	5.235	
Gazella_leilae	9.9	9.88	
Gazella_lydekkeri	9.9	7.246	
Gazella_mongolica	11.2	11.2	
Gazella_mytilinii	7.6	7.1	
Gazella_negevensis	19.5	19.5	
Gazella_nihensis	5.3	4.415	
Gazella_padriensis	7.246	7.246	
Gazella_paotehensis	20.08	5.767	
Gazella_parasinensis	3	3	
Gazella_pilgrimi	8.9	7.1	
Gazella_pomeli	1.834	1.8	
Gazella_postmitilinii	3.55	3.55	
Gazella_praegaudryi	11.2	11.2	
Gazella_praethomsoni	3.94	1.39	
Gazella_prjewalskyi	0.03	0.03	
Gazella_propria	9.88	9.88	
Gazella_psolea	2.19	2.19	
Gazella_rodleri	8.9	7.6	
Gazella_rufina	0.081	0.081	
Gazella_schlosseri	10.05	7.1	
Gazella_setifensis	3.55	2.5	
Gazella_sinensis	7.2	1.81	
Gazella_soriae	5	5	
Gazella_strylodondis	8.9	8.9	
Gazella_subgutturosa	3	3	extant
Gazella_thomasi	3.5	2.19	
Gazella_tingitana	0.081	0.081	
Gazella_vanhoepeni	5.333	2.0	
Gazella_yushensis	5.3	5.3	
Gazellospira_gromovae	3	3	
Gazellospira_torticornis	5.0	1.9	
Gelocus_communis	33.77	29.97	
Gelocus_gajensis	29.552	29.552	
Gelocus_laubei	33.77	32.63	
Gelocus_villebramarensis	32.63	32.63	
Gelocus_whitworthi	20.4	20.4	
Gentilicamelus_sternbergi	28.0	22.2	
Gentrytragus_gentryi	13.82	11.63	
Gentrytragus_thomasi	14.2	13.8	
Georgiomeryx_georgialasi	16.4	16.4	
Germanomeryx_fahlbuschi	16.4	16.4	
Gigantocamelus_longipes	3.55	2.5	
Gigantocamelus_spatula	4.91	2.63	
Giraffa_attica	8.9	8.9	
Giraffa_camelopardalis	2.58	1.042	extant
Giraffa_gracilis	5.0	2.33	
Giraffa_jumae	7.246	0.95	
Giraffa_pomeli	3.55	1.8	
Giraffa_priscilla	13.82	13.82	
Giraffa_punjabiensis	7.246	7.246	
Giraffa_pygmaea	5.333	1.53	
Giraffa_stillei	5.333	0.95	
Giraffokeryx_anatoliensis	14.2	14.07	
Giraffokeryx_primaevus	13.8	13.8	
Giraffokeryx_punjabiensis	20.44	7.246	
Gobiocerus_mongolicus	18.205	18.205	
Gobiomeryx_dubius	41.2	41.2	
Gorgon_mediterraneus	1.8	1.8	
Graecoryx_esterhazyi	8.9	8.9	
Graecoryx_recticornis	8.9	8.9	
Hanhaicerus_qii	32.63	32.63	
Haploidoceros_mediterraneus	0.379	0.235	
Haplomeryx_euzetensis	37.39	37.39	
Haplomeryx_picteti	40.12	40.12	
Helicoportax_praecox	13.82	13.82	
Helicoportax_tragelaphoides	13.82	13.82	
Helicotragus_rotundicornis	8.9	8.9	
Helladorcas_geraadsi	11.2	9.9	
Helladotherium_duvernoyi	11.2	7.1	
Helohyus_lentus	51.91	48.64	
Helohyus_milleri	49.27	45.38	
Helohyus_plicodon	49.27	48.64	
Hemiauchenia_blancoensis	4.91	2.63	
Hemiauchenia_gracilis	2.63	2.63	
Hemiauchenia_macrocephala	2.63	1.8	
Hemiauchenia_minima	10.09	2.63	
Hemibos_acuticornis	3.5	3.5	
Hemibos_galerianus	0.771	0.771	
Hemibos_gracilis	2.5	2.5	
Hemimeryx_blanfordi	16.4	16.4	
Hemimeryx_pusillus	17.131	11.63	
Hemitragus_bonali	1.31	0.3	
Hemitragus_orientalis	5.0	2.5	
Hendryomeryx_defordi	39.83	35.92	
Hendryomeryx_esulcatus	37.39	31.4	
Hendryomeryx_wilsoni	42.78	39.83	
Heptacodon_curtus	33.9	32.1	
Heptacodon_occidentale	33.9	32.1	
Heptacodon_pellionis	39.83	39.83	
Heptacodon_quadratus	33.9	33.9	
Hesperhys_pinensis	19.09	17.34	
Hesperhys_vagrans	17.34	15.97	
Hesperidoceras_merlae	3.55	3.55	
Hesperocamelus_stylodon	15.97	10.09	
Heteromeryx_dispar	42.78	34.7	
Heteroprox_anatoliensis	14.07	14.07	
Heteroprox_eggeri	16.4	16.4	
Heteroprox_larteti	17.2	12.85	
Heteroprox_moralesi	16.4	12.85	
Hexacodus_pelodes	55.54	53.07	
Hexacodus_uintensis	54.05	54.05	
Hexameryx_simpsoni	7.59	5.91	
Hexaprotodon_afarensis	3.6	3.6	
Hexaprotodon_bruneti	3.6	2.5	
Hexaprotodon_crusafonti	7.1	6.252	
Hexaprotodon_garyam	7.1	7.1	
Hexaprotodon_imagunculus	7.246	3.6	
Hexaprotodon_iravaticus	11.2	7.246	
Hexaprotodon_mingoz	5.3	5.3	
Hexaprotodon_pantanellii	7.1	5.3	
Hexaprotodon_sivajavanicus	3.956	3.956	
Hexaprotodon_sivalensis	11.63	3.596	
Hexobelomeryx_fricki	9.07	4.91	
Hezhengia_bohlini	11.63	8.9	
Hippohyus_tatroti	5.333	3.6	
Hippopotamodon_antiquus	16.4	9.9	
Hippopotamodon_erymanthius	11.232	7.1	
Hippopotamodon_etruscus	8.9	7.6	
Hippopotamodon_haydeni	13.82	13.82	
Hippopotamodon_major	16.4	5.3	
Hippopotamodon_sivalense	11.63	7.246	
Hippopotamodon_ultimus	1.81	1.185	
Hippopotamus_aethiopicus	2.64	1.33	
Hippopotamus_amphibius	5.333	0.125	extant
