#Name,Category,Mass,Source
Panthera palaeosinensis,Carn,57375,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hyaenictis graeca,Carn,55000,http://www.helsinki.fi/science/now/
Percrocuta minor,Carn,55000,http://www.helsinki.fi/science/now/
Simocyon diaphorus,Carn,55000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Panthera pardus,Carn,54999.6593976403,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Hyaenictitherium hyaenoides,Carn,53989.0000000001,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Canis kronstadtensis,Carn,53445.33333,genus mean
Cynelos lemanensis,Carn,52256,"Finarelli, J. A. (2007). Mechanisms behind active trends in body size evolution of the Canidae (Carnivora: Mammalia). The American Naturalist, 170(6), 876-885."
Acinonyx pardinensis,Carn,50000,http://www.helsinki.fi/science/now/
Plesiogulo crassa,Carn,50000,http://www.helsinki.fi/science/now/
Acinonyx jubatus,Carn,46700,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Helarctos malayanus,Carn,46500,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Puma pardoides,Carn,45864.9744256335,http://www.helsinki.fi/science/now/
Thalassictis certa,Carn,45432.4077094703,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Belbus beaumonti,Carn,45000,http://www.helsinki.fi/science/now/
Eomellivora wimani,Carn,45000,http://www.helsinki.fi/science/now/
Cephalogale gracile,Carn,42759.48034,genus mean
Dissopsalis carnifex,Carn,42000,"Egi, N. (2001). Body mass estimates in extinct mammals from limb bone dimensions: the case of North American hyaenodontids. Palaeontology, 44(3), 497-528."
Hyaena hyaena,Carn,41705.115,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Cephalogale ginesticus,Carn,40738,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hemicyon gargan,Carn,40000,http://www.helsinki.fi/science/now/
Lycyaena chaeretis,Carn,40000,http://www.helsinki.fi/science/now/
Ursus minimus,Carn,40000,http://www.helsinki.fi/science/now/
Hyaenictitherium parvum,Carn,38000,http://www.helsinki.fi/science/now/
Phoberogale depereti,Carn,35481,genus mean
Canis falconeri,Carn,35115,"Finarelli, J. A. (2007). Mechanisms behind active trends in body size evolution of the Canidae (Carnivora: Mammalia). The American Naturalist, 170(6), 876-885."
Ischyrictis helbingi,Carn,35000,http://www.helsinki.fi/science/now/
Hyaenictitherium wongii,Carn,32354.0000000001,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hyaena brunnea,Carn,32200.306,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Canis lupus,Carn,32183.33333,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Canis senezensis,Carn,30000,genus mean
Ictitherium intuberculatum,Carn,30000,http://www.helsinki.fi/science/now/
Lynx issiodorensis,Carn,30000,http://www.helsinki.fi/science/now/
Canis etruscus,Carn,30000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Lycaon lycaonoides,Carn,26302.6799189538,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Canis teilhardi,Carn,26302.6799189538,same size as Lycaon lycaonoides
Sinicuon dubius,Carn,26302.6799189538,same size as Lycaon lycaonoides
Lycaon falconeri,Carn,26001.5956316527,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Lycaon pictus,Carn,22050.071,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Iberictis azanzae,Carn,22000,http://www.helsinki.fi/science/now/
Equus major,Herb,959000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Brachyodus onoideus,Herb,870000,http://www.helsinki.fi/science/now/
Cervalces latifrons,Herb,870000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Giraffa gracilis,Herb,851138.038202377,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Stegodon florensis,Herb,850000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Platybos aceros,Herb,848928.5714,genus mean
Bibos gaurus,Herb,825000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Bos gaurus,Herb,825000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Bos frontalis,Herb,825000,"Werner, J., & Griebeler, E. M. (2011). Reproductive biology and its impact on body size: comparative analysis of mammalian, avian and dinosaurian reproduction. PLoS One, 6(12), e28442."
Progiraffa exigua,Herb,823208.359896533,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Aprotodon fatehjangense,Herb,806129.75912397,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Caementodon oettingenae,Herb,806129.75912397,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Gaindatherium browni,Herb,806129.75912397,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Bos sauveli,Herb,800000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Birgerbohlinia schaubi,Herb,800000,http://www.helsinki.fi/science/now/
Decennatherium macedoniae,Herb,800000,http://www.helsinki.fi/science/now/
Hispanotherium matritense,Herb,800000,http://www.helsinki.fi/science/now/
Spirocerus kiakhtensis,Herb,790678.627999825,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Sinohippus robustus,Herb,784185.000000002,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hoploaceratherium tetradactylum,Herb,751000,http://www.helsinki.fi/science/now/
Bramatherium megacephalum,Herb,729416.369847685,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Bubalus bubalis,Herb,725000,"Croft, D. A., Heaney, L. R., Flynn, J. J., & Bautista, A. P. (2006). Fossil remains of a new, diminutive Bubalus (Artiodactyla: Bovidae: Bovini) from Cebu island, Philippines. Journal of Mammalogy, 87(5), 1037-1051."
Bubalus arnee,Herb,725000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Bison exiguus,Herb,717035.2092,genus mean
Bison palaeosinensis,Herb,717035.2092,genus mean
Bison sivalensis,Herb,717035.2092,genus mean
Bison voigtstedtensis,Herb,717035.2092,genus mean
Arvernoceros verestchagini,Herb,700000,"Croitor, R. O. M. A. N. (2009). Systematical position and evolution of the genus Arvernoceros (Cervidae, Mammalia) from Plio-Pleistocene of Eurasia. Muzeul Olteniei Craiova. Oltenia. Studii si communicari. S tiintele Naturii, 25."
Arvernoceros verestshagini,Herb,700000,"Croitor, R. O. M. A. N. (2009). Systematical position and evolution of the genus Arvernoceros (Cervidae, Mammalia) from Plio-Pleistocene of Eurasia. Muzeul Olteniei Craiova. Oltenia. Studii si communicari. S tiintele Naturii, 25."
Bos javanicus,Herb,700000,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Chilotherium habereri,Herb,700000,http://www.helsinki.fi/science/now/
Plesiaceratherium fahlbuschi,Herb,700000,http://www.helsinki.fi/science/now/
Megaloceros giganteus,Herb,699841.996002273,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Spirocerus hsuchiayaocus,Herb,693559.54,genus mean
Spirocerus peii,Herb,693559.54,genus mean
Equus eisenmannae,Herb,682112.000000001,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Taurotragus derbianus,Herb,680000,"Polishchuk, L. V. (2010). The three-quarter-power scaling of extinction risk in Late Pleistocene mammals, and a new theory of the size selectivity of extinction. Evolutionary Ecology Research, 12(1), 1-22."
Bison menneri,Herb,666807,genus mean
Eobison tamanensis,Herb,666807,genus mean
Bison degiulii,Herb,666806.769213622,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Paracamelus alutensis,Herb,665608.63828553,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Alicornops simorrensis,Herb,650000,http://www.helsinki.fi/science/now/
Bohlinia attica,Herb,650000,http://www.helsinki.fi/science/now/
Samotherium maeoticum,Herb,650000,http://www.helsinki.fi/science/now/
Mammuthus lamarmorai,Herb,648634.43354824,"Raia, P., Carotenuto, F., & Meiri, S. (2010). One size does not fit all: no evidence for an optimal body size on islands. Global Ecology and Biogeography, 19(4), 475-484."
Eosyncerus ivericus,Herb,626843.84,genus mean
Syncerus acoelotus,Herb,626843.84,genus mean
Bison schoetensacki,Herb,623734.835482421,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hemibos acuticornis,Herb,603594.1553,genus mean
Hemibos antelopinus,Herb,603594.1553,genus mean
Hemibos triquetricornis,Herb,603594.1553,genus mean
Equus beijingensis,Herb,600000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Palaeotragus germaini,Herb,600000,http://www.helsinki.fi/science/now/
Samotherium boissieri,Herb,600000,http://www.helsinki.fi/science/now/
Samotherium majori,Herb,600000,http://www.helsinki.fi/science/now/
Samotherium mongoliense,Herb,600000,http://www.helsinki.fi/science/now/
Samotherium pamiri,Herb,600000,http://www.helsinki.fi/science/now/
Subchilotherium intermedium,Herb,600000,http://www.helsinki.fi/science/now/
Bos banteng,Herb,600000,"MacFadden, B. J. (1990). Body size in mammalian paleobiology: estimation and biological implications. Cambridge University Press."
Bos indicus,Herb,600000,"MacFadden, B. J. (1990). Body size in mammalian paleobiology: estimation and biological implications. Cambridge University Press."
Lartetotherium sansaniensis,Herb,583000,http://www.helsinki.fi/science/now/
Camelus sivalensis,Herb,581676.0334,genus mean
Syncerus caffer,Herb,580002.68,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Tapirus augustus,Herb,575439.937337157,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Bucapra daviesii,Herb,570000,"estimated from:Khan, M. A., & Akhtar, M. (2011). Proamphibos kashmiricus (Bovini: Bovidae: Mammalia) lower case from the Pinjor formation of Pakistan. Pakistan J. Zool, 43(4), 615-621."
Equus suessenbornensis,Herb,565000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Equus dalianensis,Herb,550000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Equus livenzovensis,Herb,550000,"Cantalapiedra, J.L., J. L. Prado, M. Hernández Fernández, M. T. Alberdi (2017) Decoupled ecomorphological evolution and diversification in Neogene-Quaternary horses. Science 355, Issue 6325, pp. 627-630
"
Camelus knoblochi,Herb,550000,http://www.helsinki.fi/science/now/
Megaloceros ordosianus,Herb,547314.9669,genus mean
Poephagus baikalensis,Herb,525000,http://www.helsinki.fi/science/now/
Hippopotamodon antiquus,Herb,510000,http://www.helsinki.fi/science/now/
Bubalus brevicornis,Herb,506854.7522,genus mean
Bubalus marathusae,Herb,506854.7522,genus mean
Bubalus maruvattoorensis,Herb,506854.7522,genus mean
Bubalus palaeindicus,Herb,506854.7522,genus mean
Bubalus platyceros,Herb,506854.7522,genus mean
Bubalus teilhardi,Herb,506854.7522,genus mean
Bubalus wansijocki,Herb,506854.7522,genus mean
